Nr,Tweets,bow
464,"['treysotrigga', 'opinion', 'opinion', 'anthony', 'trollope']","[(317, 1), (318, 2), (319, 1), (320, 1)]"
465,['time'],"[(76, 1)]"
466,"['lita', 'lita', 'woman']","[(321, 2), (322, 1)]"
467,"['nancy', 'pelosi']","[(117, 1), (118, 1)]"
469,['bhool'],"[(323, 1)]"
470,"['trust', 'doubt']","[(324, 1), (325, 1)]"
471,['comey'],"[(326, 1)]"
473,"['page', 'paper']","[(173, 1), (174, 1)]"
474,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
477,['college'],"[(270, 1)]"
479,['abchouston'],"[(271, 1)]"
482,['pepper'],"[(272, 1)]"
484,"['record', 'fight']","[(273, 1), (274, 1)]"
485,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
487,"['lady', 'ranicorn', 'adventure', 'time', 'ranicorn', 'type', 'language']","[(76, 1), (125, 1), (275, 1), (276, 1), (277, 1), (278, 2)]"
488,['blue'],"[(279, 1)]"
489,"['blackkout', 'mind', 'childr']","[(280, 1), (281, 1), (282, 1)]"
490,['kids'],"[(283, 1)]"
491,"['proper', 'grammar']","[(284, 1), (285, 1)]"
494,"['wave', 'time']","[(76, 1), (77, 1)]"
499,"['jjwatt', 'practice']","[(286, 1), (287, 1)]"
500,"['march', 'february']","[(288, 1), (289, 1)]"
501,['twitter'],"[(27, 1)]"
502,['dispatch'],"[(290, 1)]"
503,"['father', 'times']","[(244, 1), (291, 1)]"
504,"['game', 'bruh']","[(292, 1), (293, 1)]"
505,"['morning', 'hope']","[(223, 1), (224, 1)]"
507,['jonnyco'],"[(228, 1)]"
508,"['nicki', 'wowww']","[(229, 1), (230, 1)]"
509,"['chess', 'player', 'chess', 'piece']","[(71, 2), (72, 1), (73, 1)]"
510,"['james', 'harden', 'playoff', 'series', 'klay', 'thompson', 'kevin', 'durant', 'andre', 'iguodala']","[(198, 1), (199, 1), (231, 1), (232, 1), (233, 1), (234, 1), (235, 1), (236, 1), (237, 1), (238, 1)]"
512,"['time', 'door', 'shockedddd']","[(76, 1), (239, 1), (240, 1)]"
513,"['agent', 'provacatuer', 'submissions']","[(241, 1), (242, 1), (243, 1)]"
516,['month'],"[(128, 1)]"
518,"['twitter', 'shaljam', 'gosht']","[(27, 1), (327, 1), (328, 1)]"
519,"['boys', 'remix']","[(215, 1), (216, 1)]"
523,"['girls', 'story']","[(28, 1), (29, 1)]"
525,"['polls', 'aren', 'pillow', 'soft', 'society']","[(329, 1), (330, 1), (331, 1), (332, 1), (333, 1)]"
